Description,Category
Quick client website project payment,Freelancing
Online graphic design freelancing payment,Freelancing
Monthly office salary payment,Salary
Online beauty products shopping,Cosmetics
Salary credited to bank,Salary
Monthly salary credited to bank,Salary
Job salary income,Salary
Today pay power bill online,Electricity
Monthly burger from mcdonalds,Food
Online cash gift received,Gift
Quick festival gift received,Gift
Monthly lipstick purchase,Cosmetics
Family dinner outside,Food
Online swiggy food delivery,Food
Monthly late night pizza order,Food
Today lunch from zomato,Food
Quick office salary payment,Salary
Today flipkart refund received,Refund
Online apartment rent received,Rental Income
Monthly household grocery refill,Groceries
Today client website project payment,Freelancing
Quick online shopping refund,Refund
Flat rent received,Rental Income
Today household grocery refill,Groceries
Quick vegetables from local market,Groceries
Online facewash purchase,Cosmetics
Monthly family dinner outside,Food
Quick dmart grocery shopping,Groceries
Monthly moisturizer purchase,Cosmetics
Today pay power bill online,Electricity
Quick birthday gift money received,Gift
Online festival gift received,Gift
Today company payroll salary,Salary
Today order return refund,Refund
Quick festival gift received,Gift
Client website project payment,Freelancing
Monthly gift from friend,Gift
Today cancelled order refund,Refund
Quick milk bread eggs purchase,Groceries
Today lunch from zomato,Food
Online electric bill for apartment,Electricity
Online cancelled order refund,Refund
Monthly skincare products order,Cosmetics
Today skincare products order,Cosmetics
Sandwich at cafe,Food
Quick job salary income,Salary
Today employer salary transfer,Salary
Monthly facewash purchase,Cosmetics
Online zepto grocery delivery,Groceries
Today festival gift received,Gift
Monthly employer salary transfer,Salary
Home electricity bill,Electricity
Online dinner at restaurant,Food
Monthly job salary income,Salary
Today dinner at restaurant,Food
Lipstick purchase,Cosmetics
Quick apartment rent received,Rental Income
Monthly electricity bill,Electricity
Cash gift received,Gift
Quick dinner at restaurant,Food
Today graphic design freelancing payment,Freelancing
Moisturizer purchase,Cosmetics
Online electricity board bill,Electricity
Monthly logo design freelance payment,Freelancing
Today lipstick purchase,Cosmetics
Monthly graphic design freelancing payment,Freelancing
Today client website project payment,Freelancing
Gift from family member,Gift
Today bigbasket grocery order,Groceries
Electricity charges payment,Electricity
Monthly lipstick purchase,Cosmetics
Monthly property rent income,Rental Income
Online kirana store grocery items,Groceries
Milk bread eggs purchase,Groceries
Online birthday gift money received,Gift
