Description,Category
D-mart grocery purchase,Groceries
Monthly grocery shopping from mall,Groceries
Vegetables from market,Groceries
Buy fruits and vegetables,Groceries
Supermarket grocery shopping,Groceries
Mlk bread eggs purchase,Groceries
Weekly grocery purchase,Groceries
Grocery shopping at reliance,Groceries
Buy household groceries,Groceries
Grocery items from store,Groceries
Rice wheat vegetables purchase,Groceries
Buy snacks and groceries,Groceries
Kitchen grocery shopping,Groceries
Buy cooking ingredients,Groceries
Purchase grocery items,Groceries
Vegetable market grocery purchase,Groceries
Monthly supermarket grocery bill,Groceries
Buy fresh fruits from market,Groceries
Online grocery order from bigbasket,Groceries
Dominos pizza order,Food
Pizza from dominos,Food
Burger from mcdonalds,Food
Restaurant dinner with friends,Food
Swiggy food order,Food
Zomato lunch order,Food
Coffee from starbucks,Food
Tea at cafe,Food
Breakfast at restaurant,Food
Lunch at hotel,Food
Dinner at restaurant,Food
Food delivery order,Food
Sandwich at cafe,Food
Eat out with friends,Food
Fast food purchase,Food
Late night pizza order,Food
Dinner at family restaurant,Food
Morning coffee at starbucks,Food
Street food snacks purchase,Food
Electricity bill payment,Electricity bill
Monthly electricity bill,Electricity bill
Electricity bill for house,Electricity bill
Power bill payment,Electricity bill
Electricity charge payment,Electricity bill
Pay electricity bill online,Electricity bill
Electricity bill for apartment,Electricity bill
Power supply bill payment,Electricity bill
Electricity charges payment,Electricity bill
House electricity bill,Electricity bill
Electric bill payment,Electricity bill
Pay power bill,Electricity bill
Electricity bill auto payment,Electricity bill
Apartment power bill payment,Electricity bill
Cosmetics purchase,cosmetics
Buy makeup products,cosmetics
Lipstick purchase,cosmetics
Skincare products shopping,cosmetics
Beauty product purchase,cosmetics
Cosmetics from mall,cosmetics
Makeup kit purchase,cosmetics
Buy foundation cream,cosmetics
Cosmetic store shopping,cosmetics
Buy beauty products,cosmetics
Skin care shopping,cosmetics
Cosmetics online order,cosmetics
Refund from amazon,Refund
Money refund received,Refund
Product return refund,Refund
Refund for cancelled order,Refund
Amazon order refund,Refund
Online purchase refund,Refund
Payment refund received,Refund
Refund from shopping website,Refund
Salary income received,Income
Monthly salary credit,Income
Bank salary deposit,Income
Salary payment from company,Income
Office salary income,Income
Monthly income received,Income
Salary credit in bank,Income
Income from job,Income
Gift money received,Gift received
Birthday gift money,Gift received
Gift received from friend,Gift received
Wedding gift money,Gift received
Cash gift received,Gift received
Festival gift money,Gift received
Rent from tenant received,Rental Income
House rent received,Rental Income
Monthly rental income,Rental Income
Property rent payment received,Rental Income
Tenant house rent,Rental Income
Flat rent income,Rental Income
Monthly house rent received,Rental Income
Freelancing project payment,Freelancing
Website project freelancing payment,Freelancing
Graphic design freelancing income,Freelancing
Client freelancing payment,Freelancing
Freelance project income,Freelancing
Online freelancing payment,Freelancing
Freelance logo design payment,Freelancing
